agent,week,left_run,right_run,shingle_jaccard
Aaron Whitfield,1,Run 1,Run 2,0.0
Aaron Whitfield,2,Run 1,Run 2,0.0
Aaron Whitfield,3,Run 1,Run 2,0.0
Aaron Whitfield,4,Run 1,Run 2,0.003509
Aaron Whitfield,5,Run 1,Run 2,0.003597
Aaron Whitfield,6,Run 1,Run 2,0.0
Aaron Whitfield,7,Run 1,Run 2,0.0
Aaron Whitfield,8,Run 1,Run 2,0.0
Aaron Whitfield,9,Run 1,Run 2,0.0
Aaron Whitfield,10,Run 1,Run 2,0.01845
Aaron Whitfield,11,Run 1,Run 2,0.006711
Aaron Whitfield,12,Run 1,Run 2,0.010676
Aaron Whitfield,13,Run 1,Run 2,0.003509
Aaron Whitfield,14,Run 1,Run 2,0.0
Aaron Whitfield,15,Run 1,Run 2,0.010989
Aaron Whitfield,16,Run 1,Run 2,0.003745
Aaron Whitfield,17,Run 1,Run 2,0.0
Aaron Whitfield,18,Run 1,Run 2,0.018051
Aaron Whitfield,19,Run 1,Run 2,0.011111
Aaron Whitfield,20,Run 1,Run 2,0.0
Aaron Whitfield,21,Run 1,Run 2,0.003704
Aaron Whitfield,22,Run 1,Run 2,0.022388
Aaron Whitfield,23,Run 1,Run 2,0.0
Aaron Whitfield,24,Run 1,Run 2,0.0
Aaron Whitfield,25,Run 1,Run 2,0.0
Aaron Whitfield,26,Run 1,Run 2,0.009967
Aaron Whitfield,27,Run 1,Run 2,0.0
Aaron Whitfield,28,Run 1,Run 2,0.0
Aaron Whitfield,29,Run 1,Run 2,0.0
Aaron Whitfield,30,Run 1,Run 2,0.0
Aaron Whitfield,31,Run 1,Run 2,0.0
Aaron Whitfield,32,Run 1,Run 2,0.0
Aaron Whitfield,33,Run 1,Run 2,0.0
Aaron Whitfield,34,Run 1,Run 2,0.0
Aaron Whitfield,35,Run 1,Run 2,0.0
Aaron Whitfield,36,Run 1,Run 2,0.017483
Aaron Whitfield,37,Run 1,Run 2,0.0
Aaron Whitfield,38,Run 1,Run 2,0.022472
Aaron Whitfield,39,Run 1,Run 2,0.007092
Aaron Whitfield,40,Run 1,Run 2,0.0
Aaron Whitfield,41,Run 1,Run 2,0.010714
Aaron Whitfield,42,Run 1,Run 2,0.0
Aaron Whitfield,43,Run 1,Run 2,0.010714
Aaron Whitfield,44,Run 1,Run 2,0.0
Aaron Whitfield,45,Run 1,Run 2,0.003571
Aaron Whitfield,46,Run 1,Run 2,0.0
Aaron Whitfield,47,Run 1,Run 2,0.0
Aaron Whitfield,1,Run 1,Run 3,0.0
Aaron Whitfield,2,Run 1,Run 3,0.018519
Aaron Whitfield,3,Run 1,Run 3,0.011321
Aaron Whitfield,4,Run 1,Run 3,0.0
Aaron Whitfield,5,Run 1,Run 3,0.018797
Aaron Whitfield,6,Run 1,Run 3,0.014545
Aaron Whitfield,7,Run 1,Run 3,0.0
Aaron Whitfield,8,Run 1,Run 3,0.0
Aaron Whitfield,9,Run 1,Run 3,0.007194
Aaron Whitfield,10,Run 1,Run 3,0.0
Aaron Whitfield,11,Run 1,Run 3,0.0
Aaron Whitfield,12,Run 1,Run 3,0.003546
Aaron Whitfield,13,Run 1,Run 3,0.021978
Aaron Whitfield,14,Run 1,Run 3,0.0
Aaron Whitfield,15,Run 1,Run 3,0.0
Aaron Whitfield,16,Run 1,Run 3,0.00365
Aaron Whitfield,17,Run 1,Run 3,0.0
Aaron Whitfield,18,Run 1,Run 3,0.0
Aaron Whitfield,19,Run 1,Run 3,0.00365
Aaron Whitfield,20,Run 1,Run 3,0.0
Aaron Whitfield,21,Run 1,Run 3,0.0
Aaron Whitfield,22,Run 1,Run 3,0.0
Aaron Whitfield,23,Run 1,Run 3,0.0
Aaron Whitfield,24,Run 1,Run 3,0.0
Aaron Whitfield,25,Run 1,Run 3,0.0
Aaron Whitfield,26,Run 1,Run 3,0.0
Aaron Whitfield,27,Run 1,Run 3,0.0
Aaron Whitfield,28,Run 1,Run 3,0.0
Aaron Whitfield,29,Run 1,Run 3,0.0
Aaron Whitfield,30,Run 1,Run 3,0.0
Aaron Whitfield,31,Run 1,Run 3,0.0
Aaron Whitfield,32,Run 1,Run 3,0.003559
Aaron Whitfield,33,Run 1,Run 3,0.007168
Aaron Whitfield,34,Run 1,Run 3,0.026515
Aaron Whitfield,35,Run 1,Run 3,0.0
Aaron Whitfield,36,Run 1,Run 3,0.0
Aaron Whitfield,37,Run 1,Run 3,0.017794
Aaron Whitfield,38,Run 1,Run 3,0.0
Aaron Whitfield,39,Run 1,Run 3,0.0
Aaron Whitfield,40,Run 1,Run 3,0.011152
Aaron Whitfield,41,Run 1,Run 3,0.0
Aaron Whitfield,42,Run 1,Run 3,0.0
Aaron Whitfield,43,Run 1,Run 3,0.0
Aaron Whitfield,44,Run 1,Run 3,0.0
Aaron Whitfield,45,Run 1,Run 3,0.0
Aaron Whitfield,1,Run 2,Run 3,0.014035
Aaron Whitfield,2,Run 2,Run 3,0.014184
Aaron Whitfield,3,Run 2,Run 3,0.0
Aaron Whitfield,4,Run 2,Run 3,0.0
Aaron Whitfield,5,Run 2,Run 3,0.010753
Aaron Whitfield,6,Run 2,Run 3,0.003509
Aaron Whitfield,7,Run 2,Run 3,0.0
Aaron Whitfield,8,Run 2,Run 3,0.0
Aaron Whitfield,9,Run 2,Run 3,0.0
Aaron Whitfield,10,Run 2,Run 3,0.0
Aaron Whitfield,11,Run 2,Run 3,0.010753
Aaron Whitfield,12,Run 2,Run 3,0.0
Aaron Whitfield,13,Run 2,Run 3,0.0
Aaron Whitfield,14,Run 2,Run 3,0.0
Aaron Whitfield,15,Run 2,Run 3,0.014652
Aaron Whitfield,16,Run 2,Run 3,0.018519
Aaron Whitfield,17,Run 2,Run 3,0.003546
Aaron Whitfield,18,Run 2,Run 3,0.0
Aaron Whitfield,19,Run 2,Run 3,0.011152
Aaron Whitfield,20,Run 2,Run 3,0.0
Aaron Whitfield,21,Run 2,Run 3,0.0
Aaron Whitfield,22,Run 2,Run 3,0.003717
Aaron Whitfield,23,Run 2,Run 3,0.0
Aaron Whitfield,24,Run 2,Run 3,0.0
Aaron Whitfield,25,Run 2,Run 3,0.007299
Aaron Whitfield,26,Run 2,Run 3,0.0
Aaron Whitfield,27,Run 2,Run 3,0.010676
Aaron Whitfield,28,Run 2,Run 3,0.006803
Aaron Whitfield,29,Run 2,Run 3,0.0
Aaron Whitfield,30,Run 2,Run 3,0.0
Aaron Whitfield,31,Run 2,Run 3,0.003378
Aaron Whitfield,32,Run 2,Run 3,0.0
Aaron Whitfield,33,Run 2,Run 3,0.0
Aaron Whitfield,34,Run 2,Run 3,0.0
Aaron Whitfield,35,Run 2,Run 3,0.0
Aaron Whitfield,36,Run 2,Run 3,0.0
Aaron Whitfield,37,Run 2,Run 3,0.003717
Aaron Whitfield,38,Run 2,Run 3,0.007194
Aaron Whitfield,39,Run 2,Run 3,0.0
Aaron Whitfield,40,Run 2,Run 3,0.0
Aaron Whitfield,41,Run 2,Run 3,0.0
Aaron Whitfield,42,Run 2,Run 3,0.0
Aaron Whitfield,43,Run 2,Run 3,0.044944
Aaron Whitfield,44,Run 2,Run 3,0.003623
Aaron Whitfield,45,Run 2,Run 3,0.0
Adrian Morales,1,Run 1,Run 2,0.010753
Adrian Morales,2,Run 1,Run 2,0.007273
Adrian Morales,3,Run 1,Run 2,0.0
Adrian Morales,4,Run 1,Run 2,0.0
Adrian Morales,5,Run 1,Run 2,0.0
Adrian Morales,6,Run 1,Run 2,0.0
Adrian Morales,7,Run 1,Run 2,0.003311
Adrian Morales,8,Run 1,Run 2,0.0
Adrian Morales,9,Run 1,Run 2,0.010714
Adrian Morales,10,Run 1,Run 2,0.0
Adrian Morales,11,Run 1,Run 2,0.007491
Adrian Morales,12,Run 1,Run 2,0.0
Adrian Morales,13,Run 1,Run 2,0.014184
Adrian Morales,14,Run 1,Run 2,0.0
Adrian Morales,15,Run 1,Run 2,0.0
Adrian Morales,16,Run 1,Run 2,0.0
Adrian Morales,17,Run 1,Run 2,0.010638
Adrian Morales,18,Run 1,Run 2,0.0
Adrian Morales,19,Run 1,Run 2,0.0
Adrian Morales,20,Run 1,Run 2,0.023529
Adrian Morales,21,Run 1,Run 2,0.0
