run,week,agent,physical_health,mental_health
Run 1,1,Aaron Whitfield,80,75
Run 1,1,Adrian Morales,80,72
Run 1,1,Adrian Vale,80,71
Run 1,1,Alaric Voss,80,68
Run 1,1,Alessandro Vieri,80,68
Run 1,2,Aaron Whitfield,80,72
Run 1,2,Adrian Morales,81,75
Run 1,2,Adrian Vale,80,73
Run 1,2,Alaric Voss,80,65
Run 1,2,Alessandro Vieri,80,71
Run 1,3,Aaron Whitfield,80,75
Run 1,3,Adrian Morales,81,77
Run 1,3,Adrian Vale,80,72
Run 1,3,Alaric Voss,80,68
Run 1,3,Alessandro Vieri,80,69
Run 1,4,Aaron Whitfield,81,79
Run 1,4,Adrian Morales,81,75
Run 1,4,Adrian Vale,80,71
Run 1,4,Alaric Voss,81,73
Run 1,4,Alessandro Vieri,80,67
Run 1,5,Aaron Whitfield,82,83
Run 1,5,Adrian Morales,81,72
Run 1,5,Adrian Vale,80,73
Run 1,5,Alaric Voss,82,77
Run 1,5,Alessandro Vieri,81,65
Run 1,6,Aaron Whitfield,82,78
Run 1,6,Adrian Morales,82,75
Run 1,6,Adrian Vale,80,76
Run 1,6,Alaric Voss,82,75
Run 1,6,Alessandro Vieri,81,67
Run 1,7,Aaron Whitfield,82,81
Run 1,7,Adrian Morales,83,78
Run 1,7,Adrian Vale,80,78
Run 1,7,Alaric Voss,83,79
Run 1,7,Alessandro Vieri,81,66
Run 1,8,Aaron Whitfield,82,82
Run 1,8,Adrian Morales,85,81
Run 1,8,Adrian Vale,81,76
Run 1,8,Alaric Voss,85,83
Run 1,8,Alessandro Vieri,82,63
Run 1,9,Aaron Whitfield,83,80
Run 1,9,Adrian Morales,85,79
Run 1,9,Adrian Vale,82,80
Run 1,9,Alaric Voss,85,85
Run 1,9,Alessandro Vieri,82,59
Run 1,10,Aaron Whitfield,83,81
Run 1,10,Adrian Morales,87,85
Run 1,10,Adrian Vale,82,83
Run 1,10,Alaric Voss,86,84
Run 1,10,Alessandro Vieri,82,64
Run 1,11,Aaron Whitfield,83,82
Run 1,11,Adrian Morales,87,83
Run 1,11,Adrian Vale,82,85
Run 1,11,Alaric Voss,86,82
Run 1,11,Alessandro Vieri,83,62
Run 1,12,Aaron Whitfield,83,85
Run 1,12,Adrian Morales,87,80
Run 1,12,Adrian Vale,82,84
Run 1,12,Alaric Voss,87,87
Run 1,12,Alessandro Vieri,83,60
Run 1,13,Aaron Whitfield,83,88
Run 1,13,Adrian Morales,88,82
Run 1,13,Adrian Vale,82,80
Run 1,13,Alaric Voss,88,86
Run 1,13,Alessandro Vieri,84,63
Run 1,14,Aaron Whitfield,84,92
Run 1,14,Adrian Morales,88,80
Run 1,14,Adrian Vale,82,82
Run 1,14,Alaric Voss,88,83
Run 1,14,Alessandro Vieri,85,67
Run 1,15,Aaron Whitfield,85,91
Run 1,15,Adrian Morales,88,83
Run 1,15,Adrian Vale,82,80
Run 1,15,Alaric Voss,88,84
Run 1,15,Alessandro Vieri,85,66
Run 1,16,Aaron Whitfield,85,89
Run 1,16,Adrian Morales,88,81
Run 1,16,Adrian Vale,82,82
Run 1,16,Alaric Voss,88,80
Run 1,16,Alessandro Vieri,85,62
Run 1,17,Aaron Whitfield,85,91
Run 1,17,Adrian Morales,89,84
Run 1,17,Adrian Vale,83,84
Run 1,17,Alaric Voss,90,81
Run 1,17,Alessandro Vieri,85,63
Run 1,18,Aaron Whitfield,86,95
Run 1,18,Adrian Morales,90,87
Run 1,18,Adrian Vale,83,82
Run 1,18,Alaric Voss,91,83
Run 1,18,Alessandro Vieri,85,65
Run 1,19,Aaron Whitfield,86,92
Run 1,19,Adrian Morales,90,88
Run 1,19,Adrian Vale,83,83
Run 1,19,Alaric Voss,91,86
Run 1,19,Alessandro Vieri,86,72
Run 1,20,Aaron Whitfield,87,89
Run 1,20,Adrian Morales,90,86
Run 1,20,Adrian Vale,83,81
Run 1,20,Alaric Voss,91,81
Run 1,20,Alessandro Vieri,87,76
Run 1,21,Aaron Whitfield,87,91
Run 1,21,Adrian Morales,90,90
Run 1,21,Adrian Vale,83,83
Run 1,21,Alaric Voss,91,79
Run 1,21,Alessandro Vieri,87,78
Run 1,22,Aaron Whitfield,87,90
Run 1,22,Adrian Morales,90,86
Run 1,22,Adrian Vale,83,83
Run 1,22,Alaric Voss,92,78
Run 1,22,Alessandro Vieri,87,81
Run 1,23,Aaron Whitfield,87,87
Run 1,23,Adrian Morales,90,88
Run 1,23,Adrian Vale,83,81
Run 1,23,Alaric Voss,93,83
Run 1,23,Alessandro Vieri,88,79
Run 1,24,Aaron Whitfield,87,89
Run 1,24,Adrian Morales,89,84
Run 1,24,Adrian Vale,83,80
Run 1,24,Alaric Voss,93,82
Run 1,24,Alessandro Vieri,88,81
Run 1,25,Aaron Whitfield,88,88
Run 1,25,Adrian Morales,89,80
Run 1,25,Adrian Vale,84,83
Run 1,25,Alaric Voss,94,81
Run 1,25,Alessandro Vieri,89,83
Run 1,26,Aaron Whitfield,89,91
Run 1,26,Adrian Morales,89,81
Run 1,26,Adrian Vale,84,84
Run 1,26,Alaric Voss,94,80
Run 1,26,Alessandro Vieri,89,82
Run 1,27,Aaron Whitfield,91,96
Run 1,27,Adrian Morales,89,84
Run 1,27,Adrian Vale,84,86
Run 1,27,Alaric Voss,94,78
Run 1,27,Alessandro Vieri,90,84
Run 1,28,Aaron Whitfield,92,99
Run 1,28,Adrian Morales,89,83
Run 1,28,Adrian Vale,85,84
Run 1,28,Alaric Voss,94,77
Run 1,28,Alessandro Vieri,90,83
Run 1,29,Aaron Whitfield,93,98
Run 1,29,Adrian Morales,89,81
Run 1,29,Adrian Vale,86,88
Run 1,29,Alaric Voss,94,79
Run 1,29,Alessandro Vieri,91,86
Run 1,30,Aaron Whitfield,95,100
Run 1,30,Adrian Morales,89,79
Run 1,30,Adrian Vale,86,86
Run 1,30,Alaric Voss,95,82
Run 1,30,Alessandro Vieri,94,86
Run 1,31,Aaron Whitfield,95,97
Run 1,31,Adrian Morales,91,85
Run 1,31,Adrian Vale,86,85
Run 1,31,Alaric Voss,96,85
Run 1,31,Alessandro Vieri,95,89
Run 1,32,Aaron Whitfield,95,95
Run 1,32,Adrian Morales,92,89
Run 1,32,Adrian Vale,86,87
Run 1,32,Alaric Voss,97,83
Run 1,32,Alessandro Vieri,95,87
Run 1,33,Aaron Whitfield,95,97
Run 1,33,Adrian Morales,92,92
Run 1,33,Adrian Vale,86,86
Run 1,33,Alaric Voss,97,81
Run 1,33,Alessandro Vieri,96,89
Run 1,34,Aaron Whitfield,95,95
Run 1,34,Adrian Morales,92,91
Run 1,34,Adrian Vale,86,87
Run 1,34,Alaric Voss,98,80
Run 1,34,Alessandro Vieri,96,88
Run 1,35,Aaron Whitfield,94,90
Run 1,35,Adrian Morales,93,94
Run 1,35,Adrian Vale,86,88
Run 1,35,Alaric Voss,99,78
Run 1,35,Alessandro Vieri,97,86
Run 1,36,Aaron Whitfield,94,88
Run 1,36,Adrian Morales,93,92
Run 1,36,Adrian Vale,87,87
Run 1,36,Alaric Voss,99,74
Run 1,36,Alessandro Vieri,97,84
Run 1,37,Aaron Whitfield,93,86
Run 1,37,Adrian Morales,93,91
Run 1,37,Adrian Vale,87,85
Run 1,37,Alaric Voss,100,77
Run 1,37,Alessandro Vieri,98,83
Run 1,38,Aaron Whitfield,94,89
Run 1,38,Adrian Morales,94,94
Run 1,38,Adrian Vale,87,88
Run 1,38,Alaric Voss,100,79
Run 1,38,Alessandro Vieri,99,86
Run 1,39,Aaron Whitfield,94,86
Run 1,39,Adrian Morales,95,97
Run 1,39,Adrian Vale,88,86
Run 1,39,Alaric Voss,100,81
Run 1,39,Alessandro Vieri,100,92
Run 1,40,Aaron Whitfield,95,85
Run 1,40,Adrian Morales,95,97
Run 1,40,Adrian Vale,89,89
Run 1,40,Alaric Voss,100,80
Run 1,40,Alessandro Vieri,100,94
Run 1,41,Aaron Whitfield,96,82
Run 1,41,Adrian Morales,96,100
Run 1,41,Adrian Vale,90,92
Run 1,41,Alaric Voss,100,77
Run 1,41,Alessandro Vieri,100,92
Run 1,42,Aaron Whitfield,96,82
Run 1,42,Adrian Morales,96,100
Run 1,42,Adrian Vale,91,91
Run 1,42,Alaric Voss,100,79
Run 1,42,Alessandro Vieri,100,96
Run 1,43,Aaron Whitfield,97,85
Run 1,43,Adrian Morales,97,100
Run 1,43,Adrian Vale,91,93
Run 1,43,Alaric Voss,100,82
Run 1,43,Alessandro Vieri,100,95
Run 1,44,Aaron Whitfield,97,88
Run 1,44,Adrian Morales,98,98
Run 1,44,Adrian Vale,91,92
Run 1,44,Alaric Voss,100,84
Run 1,44,Alessandro Vieri,100,98
Run 1,45,Aaron Whitfield,99,94
Run 1,45,Adrian Morales,98,96
Run 1,45,Adrian Vale,92,90
Run 1,45,Alaric Voss,100,82
Run 1,45,Alessandro Vieri,100,94
Run 1,46,Aaron Whitfield,99,97
Run 1,46,Adrian Morales,98,97
Run 1,46,Adrian Vale,92,92
Run 1,46,Alaric Voss,100,79
Run 1,46,Alessandro Vieri,100,93
Run 1,47,Aaron Whitfield,99,96
Run 1,47,Adrian Morales,99,97
Run 1,47,Adrian Vale,92,93
Run 1,47,Alaric Voss,100,81
Run 1,47,Alessandro Vieri,100,91
Run 1,48,Aaron Whitfield,100,99
Run 1,48,Adrian Morales,100,100
Run 1,48,Adrian Vale,92,91
Run 1,48,Alaric Voss,100,83
Run 1,48,Alessandro Vieri,100,94
Run 1,49,Aaron Whitfield,100,98
Run 1,49,Adrian Morales,100,100
Run 1,49,Adrian Vale,92,89
Run 1,49,Alaric Voss,100,80
Run 1,49,Alessandro Vieri,100,96
Run 1,50,Aaron Whitfield,100,96
Run 1,50,Adrian Morales,100,100
Run 1,50,Adrian Vale,92,87
Run 1,50,Alaric Voss,100,78
Run 1,50,Alessandro Vieri,100,98
Run 1,51,Aaron Whitfield,100,97
Run 1,51,Adrian Morales,100,98
Run 1,51,Adrian Vale,93,90
Run 1,51,Alaric Voss,100,80
Run 1,51,Alessandro Vieri,100,96
Run 1,52,Aaron Whitfield,100,93
Run 1,52,Adrian Morales,100,97
Run 1,52,Adrian Vale,93,92
Run 1,52,Alaric Voss,100,79
Run 1,52,Alessandro Vieri,100,95
Run 2,1,Aaron Whitfield,81,68
Run 2,1,Adrian Morales,80,68
Run 2,1,Adrian Vale,80,72
Run 2,1,Alaric Voss,81,73
Run 2,1,Alessandro Vieri,81,68
Run 2,2,Aaron Whitfield,81,69
Run 2,2,Adrian Morales,81,71
Run 2,2,Adrian Vale,81,74
Run 2,2,Alaric Voss,82,76
Run 2,2,Alessandro Vieri,83,71
Run 2,3,Aaron Whitfield,81,73
Run 2,3,Adrian Morales,83,75
Run 2,3,Adrian Vale,81,73
Run 2,3,Alaric Voss,82,74
Run 2,3,Alessandro Vieri,83,67
Run 2,4,Aaron Whitfield,81,77
Run 2,4,Adrian Morales,83,74
Run 2,4,Adrian Vale,82,76
Run 2,4,Alaric Voss,83,76
Run 2,4,Alessandro Vieri,84,70
Run 2,5,Aaron Whitfield,81,80
Run 2,5,Adrian Morales,83,69
Run 2,5,Adrian Vale,82,77
Run 2,5,Alaric Voss,84,74
Run 2,5,Alessandro Vieri,85,74
Run 2,6,Aaron Whitfield,81,78
Run 2,6,Adrian Morales,84,71
Run 2,6,Adrian Vale,84,80
Run 2,6,Alaric Voss,85,77
Run 2,6,Alessandro Vieri,86,80
Run 2,7,Aaron Whitfield,82,84
Run 2,7,Adrian Morales,85,74
Run 2,7,Adrian Vale,85,79
Run 2,7,Alaric Voss,85,80
Run 2,7,Alessandro Vieri,86,83
Run 2,8,Aaron Whitfield,83,87
Run 2,8,Adrian Morales,85,70
Run 2,8,Adrian Vale,86,83
Run 2,8,Alaric Voss,85,81
Run 2,8,Alessandro Vieri,87,85
Run 2,9,Aaron Whitfield,84,92
Run 2,9,Adrian Morales,86,67
Run 2,9,Adrian Vale,86,85
Run 2,9,Alaric Voss,87,80
Run 2,9,Alessandro Vieri,87,87
Run 2,10,Aaron Whitfield,84,94
Run 2,10,Adrian Morales,86,71
Run 2,10,Adrian Vale,86,84
Run 2,10,Alaric Voss,89,83
Run 2,10,Alessandro Vieri,87,89
Run 2,11,Aaron Whitfield,85,92
Run 2,11,Adrian Morales,86,67
Run 2,11,Adrian Vale,87,87
Run 2,11,Alaric Voss,90,86
Run 2,11,Alessandro Vieri,87,90
Run 2,12,Aaron Whitfield,86,95
Run 2,12,Adrian Morales,87,71
Run 2,12,Adrian Vale,87,86
Run 2,12,Alaric Voss,91,89
Run 2,12,Alessandro Vieri,87,89
Run 2,13,Aaron Whitfield,86,92
Run 2,13,Adrian Morales,88,74
Run 2,13,Adrian Vale,87,85
Run 2,13,Alaric Voss,94,94
Run 2,13,Alessandro Vieri,87,88
Run 2,14,Aaron Whitfield,87,91
Run 2,14,Adrian Morales,88,70
Run 2,14,Adrian Vale,87,83
Run 2,14,Alaric Voss,95,97
Run 2,14,Alessandro Vieri,88,91
Run 2,15,Aaron Whitfield,87,89
Run 2,15,Adrian Morales,89,70
Run 2,15,Adrian Vale,87,79
Run 2,15,Alaric Voss,97,96
Run 2,15,Alessandro Vieri,89,89
Run 2,16,Aaron Whitfield,87,87
Run 2,16,Adrian Morales,89,68
Run 2,16,Adrian Vale,89,83
Run 2,16,Alaric Voss,97,95
Run 2,16,Alessandro Vieri,89,90
Run 2,17,Aaron Whitfield,87,85
Run 2,17,Adrian Morales,89,65
Run 2,17,Adrian Vale,89,81
Run 2,17,Alaric Voss,97,93
Run 2,17,Alessandro Vieri,90,93
Run 2,18,Aaron Whitfield,87,83
Run 2,18,Adrian Morales,90,68
Run 2,18,Adrian Vale,90,83
Run 2,18,Alaric Voss,98,91
Run 2,18,Alessandro Vieri,90,92
Run 2,19,Aaron Whitfield,87,82
Run 2,19,Adrian Morales,92,74
Run 2,19,Adrian Vale,90,82
Run 2,19,Alaric Voss,98,89
Run 2,19,Alessandro Vieri,90,95
Run 2,20,Aaron Whitfield,87,84
Run 2,20,Adrian Morales,93,70
Run 2,20,Adrian Vale,91,84
Run 2,20,Alaric Voss,100,96
Run 2,20,Alessandro Vieri,90,97
Run 2,21,Aaron Whitfield,87,86
Run 2,21,Adrian Morales,93,68
Run 2,21,Adrian Vale,91,82
Run 2,21,Alaric Voss,100,94
Run 2,21,Alessandro Vieri,91,96
Run 2,22,Aaron Whitfield,88,86
Run 2,22,Adrian Morales,94,73
Run 2,22,Adrian Vale,92,85
Run 2,22,Alaric Voss,100,93
Run 2,22,Alessandro Vieri,91,93
Run 2,23,Aaron Whitfield,89,85
Run 2,23,Adrian Morales,95,71
Run 2,23,Adrian Vale,92,82
Run 2,23,Alaric Voss,100,91
Run 2,23,Alessandro Vieri,91,91
Run 2,24,Aaron Whitfield,90,83
Run 2,24,Adrian Morales,95,67
Run 2,24,Adrian Vale,92,79
Run 2,24,Alaric Voss,100,94
Run 2,24,Alessandro Vieri,92,93
Run 2,25,Aaron Whitfield,91,87
Run 2,25,Adrian Morales,95,65
Run 2,25,Adrian Vale,92,82
Run 2,25,Alaric Voss,100,90
Run 2,25,Alessandro Vieri,93,95
Run 2,26,Aaron Whitfield,91,85
Run 2,26,Adrian Morales,95,67
Run 2,26,Adrian Vale,92,84
Run 2,26,Alaric Voss,100,91
Run 2,26,Alessandro Vieri,93,97
Run 2,27,Aaron Whitfield,92,89
Run 2,27,Adrian Morales,95,70
Run 2,27,Adrian Vale,92,86
Run 2,27,Alaric Voss,100,89
Run 2,27,Alessandro Vieri,94,100
Run 2,28,Aaron Whitfield,93,91
Run 2,28,Adrian Morales,94,65
Run 2,28,Adrian Vale,92,88
Run 2,28,Alaric Voss,100,91
Run 2,28,Alessandro Vieri,95,100
Run 2,29,Aaron Whitfield,93,93
Run 2,29,Adrian Morales,95,61
Run 2,29,Adrian Vale,93,88
Run 2,29,Alaric Voss,100,94
Run 2,29,Alessandro Vieri,95,100
Run 2,30,Aaron Whitfield,93,89
Run 2,30,Adrian Morales,95,54
Run 2,30,Adrian Vale,93,90
Run 2,30,Alaric Voss,100,93
Run 2,30,Alessandro Vieri,95,98
Run 2,31,Aaron Whitfield,92,85
Run 2,31,Adrian Morales,95,57
Run 2,31,Adrian Vale,93,91
Run 2,31,Alaric Voss,100,91
Run 2,31,Alessandro Vieri,96,97
Run 2,32,Aaron Whitfield,93,82
Run 2,32,Adrian Morales,95,53
Run 2,32,Adrian Vale,93,90
Run 2,32,Alaric Voss,100,89
Run 2,32,Alessandro Vieri,96,96
Run 2,33,Aaron Whitfield,93,78
Run 2,33,Adrian Morales,97,60
Run 2,33,Adrian Vale,93,91
Run 2,33,Alaric Voss,100,88
Run 2,33,Alessandro Vieri,96,94
Run 2,34,Aaron Whitfield,93,74
Run 2,34,Adrian Morales,97,56
Run 2,34,Adrian Vale,93,93
Run 2,34,Alaric Voss,100,90
Run 2,34,Alessandro Vieri,97,98
Run 2,35,Aaron Whitfield,93,77
Run 2,35,Adrian Morales,97,59
Run 2,35,Adrian Vale,93,96
Run 2,35,Alaric Voss,100,96
Run 2,35,Alessandro Vieri,97,96
Run 2,36,Aaron Whitfield,93,73
Run 2,36,Adrian Morales,97,62
Run 2,36,Adrian Vale,93,94
Run 2,36,Alaric Voss,100,93
Run 2,36,Alessandro Vieri,96,92
Run 2,37,Aaron Whitfield,93,72
Run 2,37,Adrian Morales,97,65
Run 2,37,Adrian Vale,93,96
Run 2,37,Alaric Voss,100,91
Run 2,37,Alessandro Vieri,96,94
Run 2,38,Aaron Whitfield,93,71
Run 2,38,Adrian Morales,97,65
Run 2,38,Adrian Vale,93,93
Run 2,38,Alaric Voss,100,89
Run 2,38,Alessandro Vieri,96,92
Run 2,39,Aaron Whitfield,93,69
Run 2,39,Adrian Morales,97,68
Run 2,39,Adrian Vale,93,92
Run 2,39,Alaric Voss,100,90
Run 2,39,Alessandro Vieri,96,90
Run 2,40,Aaron Whitfield,93,71
Run 2,40,Adrian Morales,97,65
Run 2,40,Adrian Vale,93,90
Run 2,40,Alaric Voss,100,92
Run 2,40,Alessandro Vieri,96,88
Run 2,41,Aaron Whitfield,93,69
Run 2,41,Adrian Morales,98,71
Run 2,41,Adrian Vale,93,89
Run 2,41,Alaric Voss,100,89
Run 2,41,Alessandro Vieri,96,86
Run 2,42,Aaron Whitfield,93,72
Run 2,42,Adrian Morales,98,66
Run 2,42,Adrian Vale,93,88
Run 2,42,Alaric Voss,100,86
Run 2,42,Alessandro Vieri,99,84
Run 2,43,Aaron Whitfield,94,78
Run 2,43,Adrian Morales,98,62
Run 2,43,Adrian Vale,94,90
Run 2,43,Alaric Voss,100,84
Run 2,43,Alessandro Vieri,100,90
Run 2,44,Aaron Whitfield,95,74
Run 2,44,Adrian Morales,98,60
Run 2,44,Adrian Vale,94,89
Run 2,44,Alaric Voss,100,83
Run 2,44,Alessandro Vieri,100,93
Run 2,45,Aaron Whitfield,95,70
Run 2,45,Adrian Morales,98,58
